Customer ID,Customer Type
1056,medium budget
1057,low budget
1057,low budget
1058,medium budget
1060,low budget
1061,low budget
1063,low budget
1063,low budget
1065,low budget
1153,low budget
1344,low budget
1072,medium budget
1073,medium budget
1076,medium budget
1077,medium budget
1078,medium budget
1080,low budget
1083,low budget
1084,low budget
1085,low budget
1086,medium budget
1087,medium budget
1088,low budget
1089,low budget
1091,low budget
1092,medium budget
1093,medium budget
1094,low budget
1094,low budget
1094,low budget
1094,low budget
1094,low budget
1095,medium budget
1097,medium budget
1097,medium budget
1097,medium budget
1097,medium budget
1347,low budget
1099,low budget
1100,low budget
1101,low budget
1103,medium budget
1104,low budget
1105,low budget
1105,low budget
1105,low budget
1105,low budget
1106,low budget
1107,medium budget
1107,medium budget
1109,medium budget
1110,low budget
1112,low budget
1112,low budget
1113,medium budget
1346,low budget
1115,low budget
1117,low budget
1118,low budget
1119,low budget
1121,low budget
1122,low budget
1123,low budget
1124,low budget
1125,low budget
1126,medium budget
1131,luxury/high budget
1131,luxury/high budget
1131,luxury/high budget
1131,luxury/high budget
1131,luxury/high budget
1132,medium budget
1133,low budget
1134,low budget
1136,low budget
1137,low budget
1137,low budget
1138,medium budget
1139,low budget
1140,medium budget
1141,low budget
1142,low budget
1143,low budget
1144,low budget
1145,low budget
1146,low budget
1146,low budget
1147,low budget
1149,low budget
1151,low budget
1152,low budget
1155,low budget
1156,low budget
1156,medium budget
1157,medium budget
1158,low budget
1159,low budget
1160,medium budget
1161,low budget
1161,low budget
1162,low budget
1163,low budget
1167,low budget
1168,low budget
1170,low budget
1172,medium budget
1174,low budget
1175,low budget
1176,low budget
1177,low budget
1179,medium budget
1181,low budget
1182,medium budget
1182,medium budget
1183,low budget
1184,low budget
1186,medium budget
1187,medium budget
1188,low budget
1189,low budget
1190,luxury/high budget
1191,medium budget
1191,medium budget
1191,medium budget
1192,medium budget
1193,low budget
1195,medium budget
1195,medium budget
1196,medium budget
1197,low budget
1198,medium budget
1199,low budget
1200,low budget
1201,low budget
1202,low budget
1204,medium budget
1205,low budget
1208,luxury/high budget
1209,low budget
1210,medium budget
1210,medium budget
